# of explored nodes = 72
0: (0, 0, 0, 13, 10, 1)
1: (0, 2, 1, 13, 8, 0)
2: (0, 1, 0, 13, 9, 1)
3: (0, 3, 1, 13, 7, 0)
4: (0, 2, 0, 13, 8, 1)
5: (2, 2, 1, 11, 8, 0)
6: (2, 0, 0, 11, 10, 1)
7: (3, 1, 1, 10, 9, 0)
8: (3, 0, 0, 10, 10, 1)
9: (3, 2, 1, 10, 8, 0)
10: (3, 1, 0, 10, 9, 1)
11: (3, 3, 1, 10, 7, 0)
12: (3, 2, 0, 10, 8, 1)
13: (4, 3, 1, 9, 7, 0)
14: (4, 2, 0, 9, 8, 1)
15: (4, 4, 1, 9, 6, 0)
16: (4, 3, 0, 9, 7, 1)
17: (5, 4, 1, 8, 6, 0)
18: (5, 3, 0, 8, 7, 1)
19: (5, 5, 1, 8, 5, 0)
20: (5, 4, 0, 8, 6, 1)
21: (6, 5, 1, 7, 5, 0)
22: (6, 4, 0, 7, 6, 1)
23: (6, 6, 1, 7, 4, 0)
24: (6, 5, 0, 7, 5, 1)
25: (7, 6, 1, 6, 4, 0)
26: (7, 5, 0, 6, 5, 1)
27: (7, 7, 1, 6, 3, 0)
28: (7, 6, 0, 6, 4, 1)
29: (8, 7, 1, 5, 3, 0)
30: (8, 6, 0, 5, 4, 1)
31: (8, 8, 1, 5, 2, 0)
32: (8, 7, 0, 5, 3, 1)
33: (9, 8, 1, 4, 2, 0)
34: (9, 7, 0, 4, 3, 1)
35: (9, 9, 1, 4, 1, 0)
36: (9, 8, 0, 4, 2, 1)
37: (10, 9, 1, 3, 1, 0)
38: (10, 8, 0, 3, 2, 1)
39: (10, 10, 1, 3, 0, 0)
40: (10, 9, 0, 3, 1, 1)
41: (11, 10, 1, 2, 0, 0)
42: (11, 9, 0, 2, 1, 1)
43: (12, 10, 1, 1, 0, 0)
44: (12, 9, 0, 1, 1, 1)
45: (13, 10, 1, 0, 0, 0)
